k_number,fairness_type,fairness_depth,has_algorithmic_fairness,has_statistical_bias,has_subgroup_numbers,mentions_race,mentions_sex,mentions_age,mentions_skin_tone,mentions_geography,mentions_socioeconomic,algorithmic_terms,statistical_terms,context_snippets,analyzed_at,panel,decision_year,category
P940029,none,absent,0,0,0,0,0,0,0,0,0,,,,2026-04-24T11:53:14+00:00,Pathology,1995,
P950009,none,absent,0,0,0,0,0,0,0,0,0,,,,2026-04-24T11:53:14+00:00,Pathology,1995,
K955841,none,absent,0,0,0,0,0,0,0,0,0,,,,2026-04-24T11:53:13+00:00,Anesthesiology,1997,
P970058,none,absent,0,0,0,0,0,0,0,0,0,,,,2026-04-24T11:53:14+00:00,Radiology,1998,
P980025,none,absent,0,0,0,0,0,0,0,0,0,,,,2026-04-24T11:53:14+00:00,Radiology,1998,
K003301,none,absent,0,0,0,0,0,0,0,0,0,,,,2026-04-24T11:51:06+00:00,Hematology,2001,
P000041,none,absent,0,0,0,0,0,0,0,0,0,,,,2026-04-24T11:53:13+00:00,Radiology,2001,
P010034,none,absent,0,0,0,0,0,0,0,0,0,,,,2026-04-24T11:53:13+00:00,Radiology,2002,
K033840,none,absent,0,0,0,0,0,0,0,0,0,,,,2026-04-24T11:51:06+00:00,Hematology,2004,
K043341,none,absent,0,0,0,0,0,0,0,0,0,,,,2026-04-24T11:51:06+00:00,Clinical Toxcicology,2005,
P040028,none,absent,0,0,0,0,0,0,0,0,0,,,,2026-04-24T11:53:13+00:00,Obstetrics and Gynecology,2006,
K080595,none,absent,0,0,0,0,0,0,0,0,0,,,,2026-04-24T11:51:06+00:00,Hematology,2008,
K080762,none,absent,0,0,0,0,0,0,0,0,0,,,,2026-04-24T11:51:06+00:00,Radiology,2008,
K080896,none,absent,0,0,0,0,0,0,0,0,0,,,,2026-04-24T11:51:06+00:00,Clinical Toxcicology,2008,
K081140,none,absent,0,0,0,0,0,0,0,0,0,,,,2026-04-24T11:51:06+00:00,Cardiovascular,2008,
K082483,none,absent,0,0,0,0,0,0,0,0,0,,,,2026-04-24T11:51:06+00:00,Radiology,2008,
K092116,none,absent,0,0,0,0,0,0,0,0,0,,,,2026-04-24T11:51:06+00:00,Hematology,2010,
K092967,none,absent,0,0,0,0,0,0,0,0,0,,,,2026-04-24T11:51:06+00:00,Clinical Toxcicology,2010,
K111776,none,absent,0,0,0,0,0,1,0,0,0,,,,2026-04-24T11:51:06+00:00,Radiology,2011,B
P090012,none,absent,0,0,0,0,0,0,0,0,0,,,,2026-04-24T11:53:13+00:00,General and Plastic Surgery,2011,
K120161,none,absent,0,0,0,0,0,0,0,0,0,,,,2026-04-24T11:51:07+00:00,Radiology,2012,B
K120489,none,absent,0,0,0,0,0,0,0,0,0,,,,2026-04-24T11:51:07+00:00,Clinical Toxcicology,2012,A
K121617,none,absent,0,0,0,0,0,1,0,0,0,,,,2026-04-24T11:51:07+00:00,Cardiovascular,2012,A
K123526,none,absent,0,0,0,0,0,1,0,0,0,,,,2026-04-24T11:51:07+00:00,Radiology,2012,B
DEN130013,none,absent,0,0,0,0,0,0,0,0,0,,,,2026-04-24T11:51:01+00:00,Microbiology,2013,
K120771,none,absent,0,0,0,0,0,0,0,0,0,,,,2026-04-24T11:51:07+00:00,Hematology,2013,B
K130831,none,absent,0,0,0,0,0,0,0,0,0,,,,2026-04-24T11:51:07+00:00,Microbiology,2013,B
K131044,none,absent,0,0,0,0,0,1,0,0,0,,,,2026-04-24T11:51:07+00:00,Cardiovascular,2013,A
DEN140025,none,absent,0,0,0,0,0,0,0,0,0,,,,2026-04-24T11:51:02+00:00,Neurology,2014,A
K133259,none,absent,0,0,0,0,0,1,0,0,0,,,,2026-04-24T11:51:07+00:00,Radiology,2014,B
K133649,none,absent,0,0,0,0,0,0,0,0,0,,,,2026-04-24T11:51:07+00:00,Radiology,2014,C
K141069,none,absent,0,0,0,0,0,0,0,0,0,,,,2026-04-24T11:51:07+00:00,Radiology,2014,C
K141480,none,absent,0,0,0,0,0,0,0,0,0,,,,2026-04-24T11:51:07+00:00,Radiology,2014,C
K142037,none,absent,0,0,0,0,0,0,0,0,0,,,,2026-04-24T11:51:08+00:00,Radiology,2014,B
K141922,none,absent,0,0,0,0,0,0,0,0,0,,,,2026-04-24T11:51:07+00:00,Radiology,2015,B
K142512,none,absent,0,0,0,0,0,1,0,0,0,,,,2026-04-24T11:51:08+00:00,Cardiovascular,2015,B
K142918,none,absent,0,0,0,0,0,1,0,0,0,,,,2026-04-24T11:51:08+00:00,Anesthesiology,2015,D
K143643,none,absent,0,0,0,0,0,0,0,0,0,,,,2026-04-24T11:51:08+00:00,Neurology,2015,B
K150102,none,absent,0,0,0,0,0,0,0,0,0,,,,2026-04-24T11:51:08+00:00,Anesthesiology,2015,D
K150817,none,absent,0,0,0,0,0,0,0,0,0,,,,2026-04-24T11:51:08+00:00,Clinical Chemistry,2015,B
K152733,none,absent,0,0,0,0,0,0,0,0,0,,,,2026-04-24T11:51:08+00:00,Cardiovascular,2016,A
K153351,none,absent,0,0,0,0,0,1,0,0,0,,,,2026-04-24T11:51:08+00:00,Radiology,2016,C
K153427,none,absent,0,0,0,0,0,0,0,0,0,,,,2026-04-24T11:51:08+00:00,Radiology,2016,B
K160016,none,absent,0,0,0,0,0,0,0,0,0,,,,2026-04-24T11:51:08+00:00,Cardiovascular,2016,B
K160088,none,absent,0,0,0,0,0,0,0,0,0,,,,2026-04-24T11:51:08+00:00,Radiology,2016,B
K160338,none,absent,0,0,0,0,0,0,0,0,0,,,,2026-04-24T11:51:08+00:00,General Hospital,2016,B
K160401,none,absent,0,0,0,0,0,0,0,0,0,,,,2026-04-24T11:51:08+00:00,Cardiovascular,2016,B
K161068,none,absent,0,0,0,0,0,0,0,0,0,,,,2026-04-24T11:51:08+00:00,Neurology,2016,B
K161148,none,absent,0,0,0,0,0,0,0,0,0,,,,2026-04-24T11:51:08+00:00,Radiology,2016,C
K161201,none,absent,0,0,0,0,0,0,0,0,0,,,,2026-04-24T11:51:09+00:00,Radiology,2016,B
K161322,none,absent,0,0,0,0,0,0,0,0,0,,,,2026-04-24T11:51:09+00:00,Radiology,2016,B
K161382,none,absent,0,0,0,0,0,0,0,0,0,,,,2026-04-24T11:51:09+00:00,Radiology,2016,B
K161625,none,absent,0,0,0,0,0,0,0,0,0,,,,2026-04-24T11:51:09+00:00,Radiology,2016,B
K161772,none,absent,0,0,0,0,0,0,0,0,0,,,,2026-04-24T11:51:09+00:00,Cardiovascular,2016,A
K161834,none,absent,0,0,0,0,0,0,0,0,0,,,,2026-04-24T11:51:09+00:00,Clinical Chemistry,2016,C
K161959,none,absent,0,0,0,0,0,1,0,0,0,,,,2026-04-24T11:51:09+00:00,Radiology,2016,B
K163138,none,absent,0,0,0,0,0,1,0,0,0,,,,2026-04-24T11:51:09+00:00,Radiology,2016,B
