k_number,device,company,panel,decision_year,study_type,metric_type,metric_value,ci_lower,ci_upper,dataset_size,dataset_unit,context
DEN210022,PMD-200,Medasense Biometrics Ltd.,Anesthesiology,2023,retrospective,auc,0.85,,,,,"thm decision Youden Index for NOL threshold 25 +/- 3 NOL units Pass
accuracy (binary testing) of 25
AUC 0.85 (0.8 for low 95% CI) Pass
Specificity 0.85 (0.75 for low 95% CI) Pass
0.85 (0.75 for low 95% CI) Pa"
DEN210022,PMD-200,Medasense Biometrics Ltd.,Anesthesiology,2023,retrospective,auc,0.85,,,,,"thm Youden Index for NOL 25 +/- 3 NOL units Pass
decision accuracy threshold of 25
(binary testing)
AUC 0.85 (0.8 for low 95% CI) Pass
Specificity 0.85 (0.75 for low 95% CI) Pass
0.85 (0.75 for low 95% CI) Pa"
DEN230041,Sleep Apnea Feature,"Samsung Electronics Co., Ltd",Anesthesiology,2024,randomized,sensitivity,73.7,,,,,"n if their
sleep apnea has worsened.
For age, the subgroups were those under 40 years old (n = 160, sensitivity of 73.7%, specificity
of 92.6%), those between 40 and 55 years old (n = 150, sensitivity of 87.9%, specifici"
DEN230041,Sleep Apnea Feature,"Samsung Electronics Co., Ltd",Anesthesiology,2024,randomized,sensitivity,87.9,,,,,"(n = 160, sensitivity of 73.7%, specificity
of 92.6%), those between 40 and 55 years old (n = 150, sensitivity of 87.9%, specificity of
86.9%), and those over 55 years old (n = 160, sensitivity of 82.7%, specificity of"
DEN230041,Sleep Apnea Feature,"Samsung Electronics Co., Ltd",Anesthesiology,2024,randomized,sensitivity,82.7,,,,,"rs old (n = 150, sensitivity of 87.9%, specificity of
86.9%), and those over 55 years old (n = 160, sensitivity of 82.7%, specificity of 79%). For
gender, the subgroups were male (n = 244, sensitivity of 86.1%, specifici"
DEN230041,Sleep Apnea Feature,"Samsung Electronics Co., Ltd",Anesthesiology,2024,randomized,sensitivity,86.1,,,,,"(n = 160, sensitivity of 82.7%, specificity of 79%). For
gender, the subgroups were male (n = 244, sensitivity of 86.1%, specificity of 83.5%) and female
(n = 226, sensitivity of 76.7%, specificity of 90.9%). For BMI, t"
DEN230041,Sleep Apnea Feature,"Samsung Electronics Co., Ltd",Anesthesiology,2024,randomized,sensitivity,76.7,,,,,"the subgroups were male (n = 244, sensitivity of 86.1%, specificity of 83.5%) and female
(n = 226, sensitivity of 76.7%, specificity of 90.9%). For BMI, the subgroups were those with
BMI lower than 25 (n = 99, sensitivi"
DEN230041,Sleep Apnea Feature,"Samsung Electronics Co., Ltd",Anesthesiology,2024,randomized,sensitivity,70.0,,,,,"of 76.7%, specificity of 90.9%). For BMI, the subgroups were those with
BMI lower than 25 (n = 99, sensitivity of 70%, specificity of 91%) and those with BMI greater
than 25 (n = 371, sensitivity of 83.3%, specificity"
DEN230041,Sleep Apnea Feature,"Samsung Electronics Co., Ltd",Anesthesiology,2024,randomized,sensitivity,83.3,,,,,"an 25 (n = 99, sensitivity of 70%, specificity of 91%) and those with BMI greater
than 25 (n = 371, sensitivity of 83.3%, specificity of 86%). For skin tone, the subgroups were
those with light skin tone (Fitzpatrick Sca"
DEN230041,Sleep Apnea Feature,"Samsung Electronics Co., Ltd",Anesthesiology,2024,randomized,sensitivity,74.1,,,,,". For skin tone, the subgroups were
those with light skin tone (Fitzpatrick Scale 1 and 2, n = 116, sensitivity of 74.1%, specificity of
94.8%), those with medium skin tone (Fitzpatrick Scale 3 and 4, n = 245, sensitivit"
DEN230041,Sleep Apnea Feature,"Samsung Electronics Co., Ltd",Anesthesiology,2024,randomized,sensitivity,85.7,,,,,"y of 74.1%, specificity of
94.8%), those with medium skin tone (Fitzpatrick Scale 3 and 4, n = 245, sensitivity of 85.7%,
specificity of 82.7%), and those with darker skin tone (Fitzpatrick Scale 5 and 6, n = 109,
sensit"
DEN230041,Sleep Apnea Feature,"Samsung Electronics Co., Ltd",Anesthesiology,2024,randomized,sensitivity,87.5,,,,,"85.7%,
specificity of 82.7%), and those with darker skin tone (Fitzpatrick Scale 5 and 6, n = 109,
sensitivity of 87.5%, specificity of 90.9%).
In populations where the disease is less prevalent, such as females (76.7%"
DEN230041,Sleep Apnea Feature,"Samsung Electronics Co., Ltd",Anesthesiology,2024,randomized,sensitivity,87.5,,,,,"gmentation), the DUT's sleep apnea classification accuracy exceeded that of
the general population (sensitivity 87.5%, specificity 90.9%).
Finally, the clinical study had 47 subjects with low baseline perfusion. In th"
DEN230041,Sleep Apnea Feature,"Samsung Electronics Co., Ltd",Anesthesiology,2024,randomized,specificity,92.6,,,,,"has worsened.
For age, the subgroups were those under 40 years old (n = 160, sensitivity of 73.7%, specificity
of 92.6%), those between 40 and 55 years old (n = 150, sensitivity of 87.9%, specificity of
86.9%), and thos"
DEN230041,Sleep Apnea Feature,"Samsung Electronics Co., Ltd",Anesthesiology,2024,randomized,specificity,86.9,,,,,"of 73.7%, specificity
of 92.6%), those between 40 and 55 years old (n = 150, sensitivity of 87.9%, specificity of
86.9%), and those over 55 years old (n = 160, sensitivity of 82.7%, specificity of 79%). For
gender, the"
DEN230041,Sleep Apnea Feature,"Samsung Electronics Co., Ltd",Anesthesiology,2024,randomized,specificity,79.0,,,,,"tivity of 87.9%, specificity of
86.9%), and those over 55 years old (n = 160, sensitivity of 82.7%, specificity of 79%). For
gender, the subgroups were male (n = 244, sensitivity of 86.1%, specificity of 83.5%) and fem"
DEN230041,Sleep Apnea Feature,"Samsung Electronics Co., Ltd",Anesthesiology,2024,randomized,specificity,83.5,,,,,"of 82.7%, specificity of 79%). For
gender, the subgroups were male (n = 244, sensitivity of 86.1%, specificity of 83.5%) and female
(n = 226, sensitivity of 76.7%, specificity of 90.9%). For BMI, the subgroups were thos"
DEN230041,Sleep Apnea Feature,"Samsung Electronics Co., Ltd",Anesthesiology,2024,randomized,specificity,90.9,,,,,"le (n = 244, sensitivity of 86.1%, specificity of 83.5%) and female
(n = 226, sensitivity of 76.7%, specificity of 90.9%). For BMI, the subgroups were those with
BMI lower than 25 (n = 99, sensitivity of 70%, specificity"
DEN230041,Sleep Apnea Feature,"Samsung Electronics Co., Ltd",Anesthesiology,2024,randomized,specificity,91.0,,,,,"ty of 90.9%). For BMI, the subgroups were those with
BMI lower than 25 (n = 99, sensitivity of 70%, specificity of 91%) and those with BMI greater
than 25 (n = 371, sensitivity of 83.3%, specificity of 86%). For skin t"
DEN230041,Sleep Apnea Feature,"Samsung Electronics Co., Ltd",Anesthesiology,2024,randomized,specificity,86.0,,,,,"vity of 70%, specificity of 91%) and those with BMI greater
than 25 (n = 371, sensitivity of 83.3%, specificity of 86%). For skin tone, the subgroups were
those with light skin tone (Fitzpatrick Scale 1 and 2, n = 116,"
DEN230041,Sleep Apnea Feature,"Samsung Electronics Co., Ltd",Anesthesiology,2024,randomized,specificity,94.8,,,,,"ubgroups were
those with light skin tone (Fitzpatrick Scale 1 and 2, n = 116, sensitivity of 74.1%, specificity of
94.8%), those with medium skin tone (Fitzpatrick Scale 3 and 4, n = 245, sensitivity of 85.7%,
specificit"
DEN230041,Sleep Apnea Feature,"Samsung Electronics Co., Ltd",Anesthesiology,2024,randomized,specificity,82.7,,,,,"y of
94.8%), those with medium skin tone (Fitzpatrick Scale 3 and 4, n = 245, sensitivity of 85.7%,
specificity of 82.7%), and those with darker skin tone (Fitzpatrick Scale 5 and 6, n = 109,
sensitivity of 87.5%, specif"
DEN230041,Sleep Apnea Feature,"Samsung Electronics Co., Ltd",Anesthesiology,2024,randomized,specificity,90.9,,,,,"82.7%), and those with darker skin tone (Fitzpatrick Scale 5 and 6, n = 109,
sensitivity of 87.5%, specificity of 90.9%).
In populations where the disease is less prevalent, such as females (76.7% sensitivity,
90.9% spe"
DEN230041,Sleep Apnea Feature,"Samsung Electronics Co., Ltd",Anesthesiology,2024,randomized,specificity,90.9,,,,,"T's sleep apnea classification accuracy exceeded that of
the general population (sensitivity 87.5%, specificity 90.9%).
Finally, the clinical study had 47 subjects with low baseline perfusion. In these subjects,
the s"
K232237,Tyto Insights for Wheeze Detection,Tyto Care Ltd.,Anesthesiology,2023,retrospective,sensitivity,85.0,,,371,patients,"the absence of a heart murmur.
recording recording
Performance The primary study The primary study Sensitivity: 85.0% (72.9%- The study endpoints and
endpoints and hypotheses endpoints and hypotheses 92.5%) hypotheses"
K232237,Tyto Insights for Wheeze Detection,Tyto Care Ltd.,Anesthesiology,2023,retrospective,specificity,86.7,,,371,patients,"e met for the intended intended patient population.
patient population, the patient population, the Specificity: 86.7% (74.9%- The performance of the Tyto
difference in AUCs was difference in AUC was in 93.7%) Insights"
K240285,Huxley SANSA Home Sleep Apnea Test (1000-00),Huxley Medical,Anesthesiology,2024,prospective,sensitivity,88.2,,,,,"ce is between manual
OSA (AHI≥15): Severe OSA (AHI≥15): Sensitivity scoring by HCP of Sibel and PSG
Sensitivity 88.2%, 90%, Specificity 98% data, whereas the subject device
Specificity utilizes an autoscored algorithm"
K240285,Huxley SANSA Home Sleep Apnea Test (1000-00),Huxley Medical,Anesthesiology,2024,prospective,sensitivity,88.2,81.3,93.2,,,".
The Sansa device yielded the following diagnostic performance to diagnose moderate to severe SDB:
Sensitivity of 88.2% (95% CI: 81.3, 93.2), Specificity of 87.3% (95% CI: 82.1, 91.5).
Subgroup analysis on race showed t"
K240285,Huxley SANSA Home Sleep Apnea Test (1000-00),Huxley Medical,Anesthesiology,2024,prospective,sensitivity,88.1,82.1,91.5,,,"y of 87.3% (95% CI: 82.1, 91.5).
Subgroup analysis on race showed the following performance: White: Sensitivity of 88.1% (95% CI: 79.2,
94.1) and Specificity of 83.7% (95% CI: 76.7, 89.3); Black: Sensitivity of 86.8% (95"
K240285,Huxley SANSA Home Sleep Apnea Test (1000-00),Huxley Medical,Anesthesiology,2024,prospective,sensitivity,86.8,79.2,94.1,,,"te: Sensitivity of 88.1% (95% CI: 79.2,
94.1) and Specificity of 83.7% (95% CI: 76.7, 89.3); Black: Sensitivity of 86.8% (95% CI: 71.9, 95.6) and
Specificity of 96.4% (95% CI: 87.5, 99.6); and All Other Races: Sensitivit"
K240285,Huxley SANSA Home Sleep Apnea Test (1000-00),Huxley Medical,Anesthesiology,2024,prospective,sensitivity,100.0,71.9,95.6,,,"y of 86.8% (95% CI: 71.9, 95.6) and
Specificity of 96.4% (95% CI: 87.5, 99.6); and All Other Races: Sensitivity of 100% (95% CI: 47.8, 100) and
Specificity of 90.9% (95% CI: 58.7, 99.8). Subgroup analysis on Fitzpatrick"
K240285,Huxley SANSA Home Sleep Apnea Test (1000-00),Huxley Medical,Anesthesiology,2024,prospective,sensitivity,90.4,58.7,99.8,,,"(95% CI: 58.7, 99.8). Subgroup analysis on Fitzpatrick score showed the following
performance: 1-4: Sensitivity of 90.4% (95% CI: 83.5, 95.1) and Specificity of 87.4% (95% CI: 81.9, 91.8);
5-6: Sensitivity of 66.7% (95%"
