company,total,cat_A,pct_A
"Siemens Medical Solutions USA, Inc.",51,2,3.9215686274509802
Canon Medical Systems Corporation,38,0,0.0
"Aidoc Medical, Ltd.",30,2,6.666666666666667
"Shanghai United Imaging Healthcare Co., Ltd.",24,0,0.0
Philips Ultrasound LLC,14,1,7.142857142857142
"GE Medical Systems, LLC",13,2,15.384615384615385
GE Medical Systems SCS,12,0,0.0
"Samsung Medison Co., Ltd.",12,0,0.0
"Hyperfine, Inc.",12,0,0.0
Clarius Mobile Health Corp.,11,0,0.0
GE Medical Systems Ultrasound and Primary Care Diagnostics,10,1,10.0
"Viz.ai, Inc.",10,1,10.0
Siemens Healthcare GmbH,10,0,0.0
Brainlab AG,9,0,0.0
"GE Medical Systems Ultrasound and Primary Care Diagnostics,",9,1,11.11111111111111
Qure.ai Technologies,8,4,50.0
RaySearch Laboratories AB (publ),7,0,0.0
"Subtle Medical, Inc.",7,0,0.0
"Surgical Information Sciences, Inc.",7,0,0.0
Zebra Medical Vision Ltd.,7,5,71.42857142857143
